巻数,のび太,ドラえもん,行為,使用道具,,
10,1,,盗撮,透視カメラ,,
12,1,,お風呂侵入,ドンブラ粉,,
12,1,1,お風呂侵入,つりぼり,,
16,1,,露出行為,しゃべる服,,
18,1,,お風呂覗き見,スパイ衛星,,
19,1,,お風呂侵入,ひみつのトンネル,,
20,1,,衣服を脱がせる,お医者さんかばん,,
21,1,1,お風呂侵入,どこでもドア,,
22,1,1,お風呂覗き見,部屋の温泉,,
24,1,,お風呂侵入,どこでもドア,,
27,1,,視姦,エスパーになるやつ,,
28,1,1,お風呂侵入,部屋が広くなるひも,,
30,1,,衣服を脱がせる,電話から手を出せるやつ,,
31,1,,お風呂侵入,どこでもドア,,
31,1,1,盗撮,遠隔写生装置的なやつ,,
31,1,,お風呂侵入,どこでもドア,,
31,1,,お風呂侵入,どこでもドア,,
34,1,1,お風呂侵入,どこでもドア,,
35,1,,露出行為,変身するやつ,,
35,1,,お風呂侵入,どこでもドア,,
35,1,,お風呂侵入,潜水艦,,
36,1,,視姦,不思議な道具,,
37,1,1,お風呂覗き見,不思議な道具,,
37,1,,お風呂侵入,どこでもドア,,
38,1,1,お風呂侵入,どこでもドア,,
39,1,,お風呂覗き見,不思議な道具,,
41,1,1,お風呂侵入,どこでもドア,,
42,1,,視姦,不思議な力,,
42,1,1,お風呂侵入,潜水艦,,
